ticker,nome,quantity,cost_basis_eur,avg_price_eur
VWCE,Vanguard FTSE All-World,33.592900,5277.20,157.0927
IS3N,iShares Core MSCI EM IMI UCITS ETF USD (Acc),20.550600,976.99,47.5408
GRID,Nasdac Clean Energy Grid,12.856300,737.94,57.3990
JEDI,VanEck Space innovator,4.000000,339.60,84.9000
CEG,Constellation Energy Corporation,1.532800,334.92,218.5000
GZUR,Physical Swiss Gold USD,0.750000,262.89,350.5200
CCJ,Cameco,2.812600,251.00,89.2400
